cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
0000717724,DRESS BARN INC,761,,,,,5621,Retail-Women's Clothing Stores
0000717751,"INTERNATIONAL ELECTRONICS, LLC",10630,,,,,3669,"Communications Equipment, Not Elsewhere Classified"
0000717806,FIRST US BANCSHARES INC,782,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,FUSB,6022,State Commercial Banks
0000717826,ERICSSON LM TELEPHONE CO,95879,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ERIC,3663,Radio and Television Broadcasting and Communications Equipment
0000717837,FIRST OAK BROOK BANCSHARES INC,6157,,,,,6022,State Commercial Banks
0000717945,"CECORS, INC.",353793,OTC Markets,OTC Pink No Information,OTC,CEOS,5090,Wholesale-Miscellaneous Durable Goods
0000717954,UNIFIRST CORP,7467,NYSE,NYSE,NYSE,UNF,7200,Services-Personal Services
0000718007,"DELSITE, INC.",3110,,,,,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
0000718074,NU HORIZONS ELECTRONICS CORP,5421,,,,,5065,"Wholesale-Electronic Parts and Equipment, Not Elsewhere Classifi"
0000718096,COSMO COMMUNICATIONS CORP,8294,,,,,3873,"Watches, Clocks, Clockwork Operated Devices/Parts"
0000718130,INTEGRAL SYSTEMS INC /MD/,3334,,,,,7373,Services-Computer Integrated Systems Design
0000718332,"RAVE RESTAURANT GROUP, INC.",2883,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,RAVE,5140,Wholesale-Groceries and Related Products
0000718413,COMMUNITY BANCORP /VT,1960,OTC Markets,OTCQX U.S. Premier,OTC,CMTV,6021,National Commercial Banks
0000718449,TBC CORP,552,,,,,5010,Wholesale-Motor Vehicles and Motor Vehicle Parts and Supplies
0000718482,EDWARDS A G INC,3787,,,,,6211,"Security Brokers, Dealers and Flotation Companies"
0000718500,JOVE CORP,344465,,,,,6035,"Savings Institution, Federally Chartered"
0000718573,RADYNE CORP,1863,,,,,3663,Radio and Television Broadcasting and Communications Equipment
0000718660,DISPLAY TECHNOLOGIES INC,8152,,,,,3990,Miscellaneous Manufacturing Industries
0000718789,SHFL ENTERTAINMENT INC.,1886,,,,,3990,Miscellaneous Manufacturing Industries
0000718877,"ACTIVISION BLIZZARD, INC.",9358,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ATVI,7372,Services-Prepackaged Software
0000718903,FOOTHILL INDEPENDENT BANCORP,5542,,,,,6022,State Commercial Banks
0000718916,BURLINGTON COAT FACTORY WAREHOUSE CORP,10812,,,,,5311,Retail-Department Stores
0000718924,SPAN AMERICA MEDICAL SYSTEMS INC,8263,,,,,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
0000718937,STAAR SURGICAL CO,11041,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,STAA,3851,Ophthalmic Goods
0000718940,BCE INC,56312,NYSE,NYSE,NYSE,BCE,4813,Telephone Communications (No Radiotelephone)
0000719135,BOVIE MEDICAL CORP,6675,NYSE,NYSE MKT,NYSE MKT,BVX,3841,Surgical and Medical Instruments and Apparatus
0000719152,INTEGRAL VISION INC,853,OTC Markets,OTC Pink No Information,OTC,INVI,3823,"Industrial Instruments for Measurement, Display, and Control of "
0000719164,SCHAWK INC,7179,,,,,2790,Service Industries For The Printing Trade
0000719184,CONSOLIDATED CAPITAL INSTITUTIONAL PROPERTIES 2,18747,,,,,6798,Real Estate Investment Trusts
0000719209,ISRAMCO INC,1829,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,ISRL,1311,Crude Petroleum and Natural Gas
0000719220,S&T BANCORP INC,4250,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,STBA,6022,State Commercial Banks
0000719245,WESTPAC BANKING CORP,108714,NYSE,NYSE,NYSE,WBK,6029,"Commercial Banks, Not Elsewhere Classified"
0000719264,FIRST CITIZENS BANCSHARES INC /TN/,16434,OTC Markets,OTC Pink Current,OTC,FIZN,6022,State Commercial Banks
0000719274,GIGA TRONICS INC,195,NASDAQ,NASDAQ Capital Market,OTC,GIGA,3825,Instruments for Measuring and Testing of Electricity and Electri
0000719402,FIRST NATIONAL CORP /VA/,5785,OTC Markets,OTC Pink Current,OTC,FXNC,6022,State Commercial Banks
0000719413,HECLA MINING CO/DE/,10639,NYSE,NYSE,NYSE,HL,1400,Mining and Quarrying Of Nonmetallic Minerals (No Fuels)
0000719483,SYNBIOTICS CORP,9497,,,,,2835,In Vitro and In Vivo Diagnostic Substances
0000719494,"INRAD OPTICS, INC.",7913,OTC Markets,OTC Pink Current,OTC,INRD,3679,"Electronic Components, Not Elsewhere Classified"
0000719495,BANK FIRST NATIONAL CORP,62186,OTC Markets,OTC Pink Current,OTC,BFNC,6022,State Commercial Banks
0000719662,SONA MOBILE HOLDINGS CORP,10991,OTC Markets,Caveat Emptor,OTC,SNMBQ,7372,Services-Prepackaged Software
0000719722,CARDIODYNAMICS INTERNATIONAL CORP,5872,,,,,3845,Electromedical and Electrotherapeutic Apparatus
0000719729,CALYPSO WIRELESS INC,3322,,,,,4813,Telephone Communications (No Radiotelephone)
0000719731,HERITAGE BANKSHARES INC /VA,954,,,,,6022,State Commercial Banks
0000719733,KEY TRONIC CORP,4550,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,KTCC,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
0000719739,SVB FINANCIAL GROUP,9839,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SIVB,6022,State Commercial Banks
0000719754,GOLDEN CYCLE GOLD CORP,26057,,,,,1040,Gold And Silver Ores
0000719866,ARCTIC CAT INC,6923,,,,,3790,Miscellaneous Transportation Equipment
0000719955,WILLIAMS SONOMA INC,3673,NYSE,NYSE,NYSE,WSM,5700,"Retail-Home Furniture, Furnishings and Equipment Stores"
0000720002,MAINSOURCE FINANCIAL GROUP,4705,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MSFG,6022,State Commercial Banks
0000720005,RAYMOND JAMES FINANCIAL INC,4542,NYSE,NYSE,NYSE,RJF,6211,"Security Brokers, Dealers and Flotation Companies"
0000720145,CIPRICO INC,1403,,,,,3576,Computer Communications Equipment
0000720154,BIOANALYTICAL SYSTEMS INC,7849,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,BASI,8731,Services-Commercial Physical and Biological Research
0000720480,ATC HEALTHCARE INC /DE/,336,,,,,7363,Services-Help Supply Services
0000720500,AMTECH SYSTEMS INC,9297,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ASYS,3559,"Special Industry Machinery, Not Elsewhere Classified"
0000720671,HALIFAX CORP OF VIRGINIA,10928,,,,,7370,"Services-Computer Programming, Data Processing, Etc."
0000720672,STIFEL FINANCIAL CORP,4200,NYSE,NYSE,NYSE,SF,6211,"Security Brokers, Dealers and Flotation Companies"
0000720762,NON INVASIVE MONITORING SYSTEMS INC /FL/,10993,OTC Markets,OTC Pink Current,OTC,NIMU,3845,Electromedical and Electrotherapeutic Apparatus
0000720851,NESTOR INC,252,,,,,7372,Services-Prepackaged Software
0000720858,INVESTORS TITLE CO,2191,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ITIC,6361,Title Insurance
0000720875,DYNATRONICS CORP,10971,NASDAQ,NASDAQ Capital Market,Nasdaq Global Market,DYNT,3845,Electromedical and Electrotherapeutic Apparatus
0000720896,MEMRY CORP,7530,,,,,3841,Surgical and Medical Instruments and Apparatus
0000720912,EXCHANGE BANCSHARES INC,7893,,,,,6022,State Commercial Banks
0000721083,SMITH INTERNATIONAL INC,1448,,,,,3533,Oil and Gas Field Machinery and Equipment
0000721237,NOBEL LEARNING COMMUNITIES INC,4061,,,,,8200,Services-Educational Services
0000721295,CYBER DIGITAL INC,5914,OTC Markets,Caveat Emptor,OTC,CYBD,3661,Telephone and Telegraph Apparatus
0000721371,CARDINAL HEALTH INC,5728,NYSE,NYSE,NYSE,CAH,5122,"Wholesale-Drugs, Proprietaries and Druggists' Sundries"
0000721447,CCA INDUSTRIES INC,1391,NYSE,NYSE MKT,NYSE MKT,CAW,2844,"Perfumes, Cosmetics and Other Toilet Preparations"
0000721647,LEHMAN T H & CO INC,4191,,,,,6770,Blank Checks
0000721683,TOTAL SYSTEM SERVICES INC,6075,NYSE,NYSE,NYSE,TSS,7389,"Services-Business Services, Not Elsewhere Classified"
0000721693,CHINA RECYCLING ENERGY CORP,81416,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,CREG,7389,"Services-Business Services, Not Elsewhere Classified"
0000721765,LL&E ROYALTY TRUST,6829,,,,,6792,Oil Royalty Traders
0000721773,ELECTRONIC CLEARING HOUSE INC,4614,,,,,6099,"Functions Related to Depository Banking, Not Elsewhere Classifie"
0000721994,LAKELAND FINANCIAL CORP,10281,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,LKFN,6022,State Commercial Banks
0000722051,"NCT GROUP, INC.",3586,,,,,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
0000722077,AMC ENTERTAINMENT INC,2030,,,,,7830,Services-Motion Picture Theaters
0000722079,TERRA INDUSTRIES INC,11606,,,,,2870,Agricultural Chemicals
0000722104,SAVIENT PHARMACEUTICALS INC,7754,,,,,2833,Medicinal Chemicals and Botanical Products
0000722256,HUDSON VALLEY HOLDING CORP,75713,,,,,6022,State Commercial Banks
0000722313,NORTECH SYSTEMS INC,4564,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,NSYS,3679,"Electronic Components, Not Elsewhere Classified"
0000722392,PLANAR SYSTEMS INC,11785,,,,,3679,"Electronic Components, Not Elsewhere Classified"
0000722487,COMDISCO INC,7039,,,,,7377,Services-Computer Rental and Leasing
0000722567,CAPRIUS INC,5348,,,,,4955,Hazardous Waste Management
0000722572,FRANKLIN WIRELESS CORP,5864,OTC Markets,OTCQB,OTC,FKWL,3661,Telephone and Telegraph Apparatus
0000722573,MAXICARE HEALTH PLANS INC,239,,,,,6324,Hospital and Medical Service Plans
0000722617,MEDICAL NUTRITION USA INC,3374,,,,,2833,Medicinal Chemicals and Botanical Products
0000722723,"HANGER, INC.",2391,OTC Markets,OTC Pink Limited,OTC,HNGR,8093,"Services-Specialty Outpatient Facilities, Not Elsewhere Classifi"
0000722830,IMMUNOMEDICS INC,10944,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,IMMU,2835,In Vitro and In Vivo Diagnostic Substances
0000722839,"ONETRAVEL HOLDINGS, INC.",3546,,,,,6552,Land Subdividers and Developers (No Cemeteries)
0000723125,MICRON TECHNOLOGY INC,4934,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MU,3674,Semiconductors and Related Devices
0000723188,"COMMUNITY BANK SYSTEM, INC.",1095,NYSE,NYSE,NYSE,CBU,6021,National Commercial Banks
0000723209,MIDDLETON DOLL CO,2860,OTC Markets,OTC Pink Limited,OTC,FTDL,3942,Dolls and Stuffed Toys
0000723254,CINTAS CORP,5215,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CTAS,2320,"Men's And Boys' Furnishings, Work Clothing, and Allied Garments"
0000723269,IRONSTONE GROUP INC,6086,OTC Markets,OTC Pink Limited,OTC,IRNS,6770,Blank Checks
0000723312,SONEX RESEARCH INC,2573,,,,,8731,Services-Commercial Physical and Biological Research
0000723371,HARTMARX CORP/DE,3938,,,,,2300,Apparel and Other Finished Products of Fabrics and Similar Mater
0000723458,STATE BANCORP INC,2534,,,,,6022,State Commercial Banks
0000723527,MCI INC,11628,,,,,4813,Telephone Communications (No Radiotelephone)
0000723531,PAYCHEX INC,11466,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,PAYX,8700,"Services-Engineering, Accounting, Research, Management"
0000723533,LONGWEN GROUP CORP.,7364,OTC Markets,OTC Pink Current,OTC,LWLW,7372,Services-Prepackaged Software
0000723574,IMAGE SOFTWARE INC,5616,OTC Markets,OTC Pink No Information,OTC,ISOL,7373,Services-Computer Integrated Systems Design
0000723592,SSI SURGICAL SERVICES INC,10861,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0000723594,FIRST CENTURY BANKSHARES INC,7563,,,,,6022,State Commercial Banks
0000723603,CULP INC,1624,NYSE,NYSE,NYSE,CULP,2211,"Broadwoven Fabric Mills, Cotton"
0000723612,"AVIS BUDGET GROUP, INC.",5470,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CAR,7510,Services-Auto Rental and Leasing (No Drivers)
0000723615,TNR TECHNICAL INC,251,OTC Markets,OTC Pink Current,OTC,TNRK,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
0000723639,AULT INC,11668,,,,,3679,"Electronic Components, Not Elsewhere Classified"
0000723646,FRANKLIN FINANCIAL SERVICES CORP /PA/,142,OTC Markets,OTCQX U.S. Premier,OTC,FRAF,6022,State Commercial Banks
0000723733,"MULTI SOLUTIONS II, INC",2558,OTC Markets,OTC Pink Current,OTC,MUSS,6770,Blank Checks
0000723888,JUNO LIGHTING INC,11343,,,,,3640,Electric Lighting And Wiring Equipment
0000723889,MICROFLUIDICS INTERNATIONAL CORP,9635,,,,,3821,Laboratory Apparatus and Furniture
0000723906,MIRACOR DIAGNOSTICS INC,4674,,,,,8093,"Services-Specialty Outpatient Facilities, Not Elsewhere Classifi"
0000723924,S&K FAMOUS BRANDS INC,2689,,,,,5600,Retail-Apparel and Accessory Stores
0000723928,"SILICON MOUNTAIN HOLDINGS, INC.",4660,,,,,3571,Electronic Computers
0000724004,MESA LABORATORIES INC /CO,3476,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,MLAB,3823,"Industrial Instruments for Measurement, Display, and Control of "
0000724024,AMERICAN PHYSICIANS SERVICE GROUP INC,1360,,,,,6331,"Fire, Marine and Casualty Insurance"
0000724267,PHAZAR CORP,1575,,,,,3663,Radio and Television Broadcasting and Communications Equipment
0000724445,BURZYNSKI RESEARCH INSTITUTE INC,45397,OTC Markets,OTC Pink Current,OTC,BZYR,2835,In Vitro and In Vivo Diagnostic Substances
0000724571,FREDS INC,7690,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,FRED,5331,Retail-Variety Stores
0000724606,PANERA BREAD CO,7006,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,PNRA,5812,Retail-Eating Places
0000724742,TRINITY PLACE HOLDINGS INC.,8986,NYSE,NYSE MKT,NYSE MKT,TPHS,6512,Operators of Nonresidential Buildings
0000724910,NVE CORP /NEW/,6001,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,NVEC,3674,Semiconductors and Related Devices
0000724915,"SEN YU INTERNATIONAL HOLDINGS, INC.",25607,,,,,0200,Agricultural Products-Livestock and Animal Specialties
0000724941,MERISEL INC /DE/,2387,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0000724988,PARLEX CORP,721,,,,,3672,Printed Circuit Boards
0000725058,CYTOGEN CORP,61,,,,,2834,Pharmaceutical Preparations
0000725282,ELOT INC,6636,OTC,Grey Market,OTC,ELIN,7389,"Services-Business Services, Not Elsewhere Classified"
0000725363,CEL SCI CORP,839,NYSE,NYSE MKT,NYSE MKT,CVM,2836,"Biological Products, (No Diagnostic Substances)"
0000725394,DALRADA FINANCIAL CORP,5958,OTC Markets,OTC Pink No Information,OTC,DFCO,7363,Services-Help Supply Services
0000725395,CALDERA CORP\,7328,,,,,1311,Crude Petroleum and Natural Gas
0000725460,"PC GROUP, INC.",4428,OTC Markets,Caveat Emptor,OTC,PCGR,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
0000725537,SECURITY CAPITAL CORP/MS,401803,,,,,6029,"Commercial Banks, Not Elsewhere Classified"
0000725752,ALONG MOBILE TECHNOLOGIES INC,7090,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0000725774,ANGSTROM TECHNOLOGIES INC,11310,,,,,2890,Miscellaneous Chemical Products
0000725876,FUNCTION(X) INC.,6393,NASDAQ,NASDAQ Capital Market,OTC,FNCX,7370,"Services-Computer Programming, Data Processing, Etc."
0000725897,CIRCUIT RESEARCH LABS INC,6933,OTC Markets,OTC Pink No Information,OTC,CRLI,3663,Radio and Television Broadcasting and Communications Equipment
0000725929,"B2DIGITAL, INC.",6988,OTC Markets,OTC Pink Current,OTC,BTDG,7841,Services-Video Tape Rental
0000726037,"WINDGEN ENERGY, INC.",8649,OTC Markets,OTC Pink No Information,OTC,WGEI,6794,Patent Owners and Lessors
0000726293,"NABUFIT GLOBAL, INC.",1971,OTC Markets,OTCQB,OTC,NBFT,0100,Agricultural Production-Crops
0000726435,"APOLLO SOLAR ENERGY, INC.",9108,OTC Markets,OTC Pink Limited,OTC,ASOE,1040,Gold And Silver Ores
0000726512,SCIOS INC,10027,,,,,2834,Pharmaceutical Preparations
0000726513,TRIBUNE MEDIA CO,2871,NYSE,NYSE,NYSE,TRCO,4833,Television Broadcasting Stations
0000726514,ELECTRO SCIENTIFIC INDUSTRIES INC,2782,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ESIO,3690,"Miscellaneous Electrical Machinery, Equipment and Supplies"
0000726517,MERCHANTS BANCSHARES INC,9481,,,,,6022,State Commercial Banks
0000726601,CAPITAL CITY BANK GROUP INC,7600,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CCBG,6022,State Commercial Banks
0000726603,"QUESTAR ASSESSMENT, INC.",5479,,,,,8200,Services-Educational Services
0000726728,REALTY INCOME CORP,10047,NYSE,NYSE,NYSE,O,6798,Real Estate Investment Trusts
0000726747,"AUTO UNDERWRITERS OF AMERICA, INC.",358629,,,,,6141,Personal Credit Institutions
0000726845,CAPITAL GOLD CORP,10905,,,,,1040,Gold And Silver Ores
0000726854,CITY HOLDING CO,5269,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CHCO,6021,National Commercial Banks
0000726958,CASEYS GENERAL STORES INC,3478,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CASY,5500,Retail-Auto Dealers and Gasoline Stations
0000726986,MISSION VALLEY BANCORP,354152,OTC Markets,OTCQX U.S. Premier,OTC,MVLY,,
0000726990,AMERICANWEST BANCORPORATION,7930,,,,,6022,State Commercial Banks
0000727008,"E-Z-EM, INC.",8598,,,,,3841,Surgical and Medical Instruments and Apparatus
0000727063,PURCHASESOFT INC,5485,,,,,7372,Services-Prepackaged Software
0000727207,"ACCELERATE DIAGNOSTICS, INC",9858,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,AXDX,3826,Laboratory Analytical Instruments
0000727273,CADIZ INC,10087,NASDAQ,NASDAQ Global Market,Nasdaq Global Market,CDZI,4941,Water Supply
0000727346,"GLOBAL HEALTHCARE REIT, INC.",9046,OTC Markets,OTC Pink Current,OTC,GBCS,6798,Real Estate Investment Trusts
0000727510,"ENZON PHARMACEUTICALS, INC.",9657,OTC Markets,OTC Pink Current,OTC,ENZN,2836,"Biological Products, (No Diagnostic Substances)"
0000727538,APACHE OFFSHORE INVESTMENT PARTNERSHIP,23789,,,,,1311,Crude Petroleum and Natural Gas
0000727634,ISIGN SOLUTIONS INC.,1544,OTC Markets,OTCQB,OTC,ISGN,7372,Services-Prepackaged Software
0000727672,SPECTRASCIENCE INC,5860,OTC Markets,OTC Pink Current,OTC,SCIE,3845,Electromedical and Electrotherapeutic Apparatus
0000727892,RIVERSOURCE LIFE INSURANCE CO,17461,,,,,6311,Life Insurance
0000727920,AXA EQUITABLE LIFE INSURANCE CO,23807,,,,,6411,"Insurance Agents, Brokers and Service"
0000728249,INTERPHASE CORP,2990,OTC Markets,OTC Pink No Information,OTC,INPHQ,3576,Computer Communications Equipment
0000728303,COAST DISTRIBUTION SYSTEM INC,8234,,,,,5013,Wholesale-Motor Vehicle Supplies and New Parts
0000728331,SUTRON CORP,3316,,,,,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
0000728385,MIDWEST ENERGY EMISSIONS CORP.,89225,OTC Markets,OTCQB,OTC,MEEC,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
0000728387,"ISORAY, INC.",24996,NYSE,NYSE MKT,NYSE MKT,ISR,3841,Surgical and Medical Instruments and Apparatus
0000728389,NATIONAL HOME HEALTH CARE CORP,1730,,,,,8082,Services-Home Health Care Services
0000728391,"IPALCO ENTERPRISES, INC.",7784,,,,,4911,Electric Services
0000728447,"EVO TRANSPORTATION & ENERGY SERVICES, INC.",538373,OTC Markets,OTC Pink Current,OTC,EVOA,5500,Retail-Auto Dealers and Gasoline Stations
0000728478,KENT INTERNATIONAL HOLDINGS INC,7268,,,,,6770,Blank Checks
0000728535,HUNT J B TRANSPORT SERVICES INC,10753,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,JBHT,4213,Trucking (No Local)
0000729156,PEOPLES EDUCATIONAL HOLDINGS,55683,OTC Markets,OTC Pink No Information,OTC,PEDH,8200,Services-Educational Services
0000729213,QMED INC,6513,OTC Markets,Caveat Emptor,OTC,QMED,8090,"Services-Miscellaneous Health and Allied Services, Not Elsewhere"
0000729237,PARKWAY PROPERTIES INC,10813,,,,,6798,Real Estate Investment Trusts
0000729284,MCRAE INDUSTRIES INC,7806,OTC Markets,OTC Pink Limited,OTC,MCRAA,3140,"Footwear, (No Rubber)"
0000729330,4-D NEUROIMAGING,1819,,,,,3845,Electromedical and Electrotherapeutic Apparatus
0000729580,BEL FUSE INC /NJ,10661,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,BELFA,3677,"Electronic Coils, Transformers and Other Inductors"
0000729599,SENTEX SENSING TECHNOLOGY INC,1428,,,,,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
0000729922,OSI PHARMACEUTICALS INC,7237,,,,,2835,In Vitro and In Vivo Diagnostic Substances
0000729986,UNITED BANKSHARES INC/WV,5055,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,UBSI,6022,State Commercial Banks
0000730000,SUPERTEX INC,11051,,,,,3674,Semiconductors and Related Devices
0000730030,COMM BANCORP INC,10244,,,,,6022,State Commercial Banks
0000730037,ILLINI CORP,7756,,,,,6022,State Commercial Banks
0000730255,CALAMP CORP.,3997,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CAMP,3663,Radio and Television Broadcasting and Communications Equipment
0000730263,THOR INDUSTRIES INC,7201,NYSE,NYSE,NYSE,THO,3716,Motor Homes
0000730272,REPLIGEN CORP,3207,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,RGEN,2836,"Biological Products, (No Diagnostic Substances)"
0000730349,TOFUTTI BRANDS INC,9853,NYSE,NYSE MKT,OTC,TOFB,2024,Ice Cream and Frozen Desserts
0000730464,ADTALEM GLOBAL EDUCATION INC.,3054,NYSE,NYSE,NYSE,ATGE,8200,Services-Educational Services
0000730469,ALPHARMA INC,7854,,,,,2834,Pharmaceutical Preparations
0000730669,FCCC INC,7493,OTC Markets,OTCQB,OTC,FCIC,6770,Blank Checks
0000730708,SEACOAST BANKING CORP OF FLORIDA,4336,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SBCF,6022,State Commercial Banks
0000730716,ZYGO CORP,10980,,,,,3827,Optical Instruments and Lenses
0000730729,GENESIS SOLAR CORP,30421,,,,,6770,Blank Checks
0000731012,HEALTHCARE SERVICES GROUP INC,10882,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,HCSG,8050,Services-Nursing and Personal Care Facilities
0000731122,CCFNB BANCORP INC,11157,OTC Markets,OTC Pink Current,OTC,CCFN,6022,State Commercial Banks
0000731138,GOLDEN AGE RESOURCES INC,557810,OTC Markets,OTC Pink Current,OTC,GDAR,1040,Gold And Silver Ores
0000731245,PRESIDENTIAL REALTY CORP/DE/,8979,OTC Markets,OTC Pink Current,OTC,PDNLA,6798,Real Estate Investment Trusts
0000731288,PACCAR FINANCIAL CORP,12592,,,,,6153,Short-Term Business Credit Institutions
0000731446,"CARIBBEAN AMERICAN HEALTH RESORTS, INC. /VITAL HEALTH TECHNO",82916,,,,,7011,Hotels and Motels
0000731502,MCDATA CORP,76548,,,,,3669,"Communications Equipment, Not Elsewhere Classified"
0000731653,UNITED BANCORP INC /OH/,1371,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,UBCP,6022,State Commercial Banks
0000731657,SPIRE CORP,2048,OTC Markets,OTC Pink Limited,OTC,SPIR,3674,Semiconductors and Related Devices
0000731724,"ENZYME ENVIRONMENTAL SOLUTIONS, INC.",9321,OTC Markets,OTC Pink No Information,OTC,EESO,5812,Retail-Eating Places
0000731727,SILVERADO GOLD MINES LTD,3581,,,,,1040,Gold And Silver Ores
0000731766,UNITEDHEALTH GROUP INC,8792,NYSE,NYSE,NYSE,UNH,6324,Hospital and Medical Service Plans
0000731802,ATMOS ENERGY CORP,1518,NYSE,NYSE,NYSE,ATO,4924,Natural Gas Distribution
0000731859,AMPAL-AMERICAN ISRAEL CORP,1619,OTC Markets,OTC Pink No Information,OTC,AMPLQ,6799,"Investors, Not Elsewhere Classified"
0000731939,TEMPLE INLAND INC,1210,,,,,2631,Paperboard Mills
0000732026,TRIO-TECH INTERNATIONAL,1260,NYSE,NYSE MKT,NYSE MKT,TRT,3559,"Special Industry Machinery, Not Elsewhere Classified"
0000732412,MULTIBAND CORP,9011,,,,,4813,Telephone Communications (No Radiotelephone)
0000732417,HILLS BANCORPORATION,23549,OTC Markets,OTC Pink Current,OTC,HBIA,6022,State Commercial Banks
0000732485,GENZYME CORP,10482,,,,,2836,"Biological Products, (No Diagnostic Substances)"
0000732712,VERIZON COMMUNICATIONS INC,7762,NYSE,NYSE,NYSE,VZ,4813,Telephone Communications (No Radiotelephone)
0000732713,BELLSOUTH CORP,8389,,,,,4813,Telephone Communications (No Radiotelephone)
0000732717,AT&T INC.,4196,NYSE,NYSE,NYSE,T,4813,Telephone Communications (No Radiotelephone)
0000732834,"CONTINENTAL RESOURCES, INC",54422,NYSE,NYSE,NYSE,CLR,1311,Crude Petroleum and Natural Gas
0000732935,HERE TO SERVE HOLDING CORP,8020,OTC Markets,OTC Pink Current,OTC,HTSC,7372,Services-Prepackaged Software
0000733076,BRIGHTHOUSE LIFE INSURANCE CO,23230,,,,,6311,Life Insurance
0000733269,ACXIOM CORP,8772,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ACXM,7374,Services-Computer Processing and Data Preparation
0000733337,"PWRCOR, INC.",7543,OTC Markets,OTCQB,OTC,PWCO,6153,Short-Term Business Credit Institutions
0000733590,TRANSCONTINENTAL REALTY INVESTORS INC,11446,NYSE,NYSE,NYSE,TCI,6798,Real Estate Investment Trusts
0000734089,DRAYTON RICHDALE CORP,10565,OTC Markets,Caveat Emptor,OTC,DRYN,8111,Services-Legal Services
0000734543,"ALCO, INC.",518342,,,,,6331,"Fire, Marine and Casualty Insurance"
0000735571,WARRANTECH CORP,8938,,,,,7389,"Services-Business Services, Not Elsewhere Classified"
0000735780,IDENTIX INC,8868,,,,,7373,Services-Computer Integrated Systems Design
0000735993,BAKBONE SOFTWARE INC,88571,,,,,7372,Services-Prepackaged Software
0000736012,INTRUSION INC,3493,OTC Markets,OTCQB,OTC,INTZ,3576,Computer Communications Equipment
0000736314,SURE TRACE SECURITY CORP,2324,OTC,Grey Market,OTC,SSTY,7389,"Services-Business Services, Not Elsewhere Classified"
0000736744,TRANSGLOBE ENERGY CORP,1890,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,TGA,1311,Crude Petroleum and Natural Gas
0000736772,CNB FINANCIAL CORP/PA,4927,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CCNE,6022,State Commercial Banks
0000736822,IMMUCOR INC,3725,,,,,2835,In Vitro and In Vivo Diagnostic Substances
0000736952,TUXIS CORP,4045,OTC Markets,OTC Pink No Information,OTC,TUXS,2200,Textile mill products
