adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001010549-16-000797	1338929	GLOBAL FASHION TECHNOLOGIES, INC.	5130	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	(973) 390 00	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	US	NV	113746201	PREMIERE OPPORTUNITIES GROUP, INC.	20110809	5-SML	0	1231	10-Q	20150630	2015	Q2	20161117	2016-11-17 09:42:00.0	0	1	gfti-20150630.xml	1	
0001010549-16-000799	1338929	GLOBAL FASHION TECHNOLOGIES, INC.	5130	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	(973) 390 00	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	US	NV	113746201	PREMIERE OPPORTUNITIES GROUP, INC.	20110809	5-SML	0	1231	10-Q	20150930	2015	Q3	20161117	2016-11-17 09:44:00.0	0	1	gfti-20150930.xml	1	
0001010549-16-000815	1572386	UMED HOLDINGS, INC.	2090	US	TX	FORT WORTH	76132	6628 BRYANT IRVIN ROAD	SUITE 250	817-346-6900	US	TX	FORT WORTH	76132	6628 BRYANT IRVIN ROAD	SUITE 250	US	TX	900893594			5-SML	0	1231	10-Q	20160930	2016	Q3	20161121	2016-11-21 14:34:00.0	0	1	umed-20160930.xml	1	
0001010549-16-000817	1567900	BLACKBOXSTOCKS INC.	5122	US	TX	DALLAS	75240	5430 LBJ FREEWAY	SUITE 1485	972-726-9203	US	TX	DALLAS	75240	5430 LBJ FREEWAY	SUITE 1485	US	NV	453598066	SMSA BALLINGER ACQUISITION CORP	20130125	5-SML	0	1231	10-Q	20160930	2016	Q3	20161121	2016-11-21 15:46:00.0	0	1	blbx-20160930.xml	1	
0001010549-16-000855	1338929	GLOBAL FASHION TECHNOLOGIES, INC.	5130	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	(973) 390 00	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	US	NV	113746201	PREMIERE OPPORTUNITIES GROUP, INC.	20110809	5-SML	0	1231	10-K	20151231	2015	FY	20161212	2016-12-12 13:32:00.0	0	1	gfti-20151231.xml	1	
0001010549-16-000857	1338929	GLOBAL FASHION TECHNOLOGIES, INC.	5130	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	(973) 390 00	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	US	NV	113746201	PREMIERE OPPORTUNITIES GROUP, INC.	20110809	5-SML	0	1231	10-Q	20160331	2016	Q1	20161212	2016-12-12 13:44:00.0	0	1	gfti-20160331.xml	1	
0001010549-16-000859	1338929	GLOBAL FASHION TECHNOLOGIES, INC.	5130	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	(973) 390 00	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	US	NV	113746201	PREMIERE OPPORTUNITIES GROUP, INC.	20110809	5-SML	0	1231	10-Q	20160630	2016	Q2	20161212	2016-12-12 13:46:00.0	0	1	gfti-20160630.xml	1	
0001010549-16-000861	1338929	GLOBAL FASHION TECHNOLOGIES, INC.	5130	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	(973) 390 00	US	NJ	TOTOWA	07512	264 UNION BLVD	FIRST FLOOR	US	NV	113746201	PREMIERE OPPORTUNITIES GROUP, INC.	20110809	5-SML	0	1231	10-Q	20160930	2016	Q3	20161212	2016-12-12 13:51:00.0	0	1	gfti-20160930.xml	1	
0001011060-16-000047	1011060	ADVANSOURCE BIOMATERIALS CORP	3841	US	MA	WILMINGTON	01887	229 ANDOVER STREET		978-657-0075	US	MA	WILMINGTON	01887	229 ANDOVER STREET		US	DE	043186647	CARDIOTECH INTERNATIONAL INC	19960321	5-SML	0	0331	10-Q/A	20160930	2016	Q2	20161116	2016-11-16 13:11:00.0	0	1	asnb-20160930.xml	1	
0001011452-16-000028	1011452	MEDICAL INFORMATION TECHNOLOGY, INC.	7372	US	MA	WESTWOOD	02090	MEDITECH CIRCLE		781-821-3000	US	MA	WESTWOOD	02090	MEDITECH CIRCLE		US	MA	042455639	MEDICAL INFORMATION TECHNOLOGY INC	19960329	4-NON	0	1231	10-Q	20160930	2016	Q3	20161031	2016-10-31 09:22:00.0	0	1	none-20160930.xml	1	
0001011570-16-000096	1011570	KNOLL INC	2590	US	PA	EAST GREENVILLE	18041	1235 WATER ST		2156797991	US	PA	EAST GREENVILLE	18041	1235 WATER STREET		US	DE	133873847			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 16:42:00.0	0	1	knl-20160930.xml	1	
0001012569-16-000221	1012569	ENERGY TRANSFER PARTNERS, L.P.	4922	US	TX	DALLAS	75225	8111 WESTCHESTER DRIVE	SUITE 600	214-981-0700	US	TX	DALLAS	75225	8111 WESTCHESTER DRIVE	SUITE 600	US	DE	731493906	ENERGY TRANSFER PARTNERS LP	20040405	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 16:23:00.0	0	1	ete-20160930.xml	1	
0001012620-16-000038	1012620	GENESEE & WYOMING INC	4011	US	CT	DARIEN	06820	20 WEST AVENUE		2032028900	US	CT	DARIEN	06820	20 WEST AVENUE		US	DE	060984624			1-LAF	1	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 14:29:00.0	0	1	gwr-20160930.xml	1	
0001012771-16-000069	1012771	FBL FINANCIAL GROUP INC	6311	US	IA	WEST DES MOINES	50266	5400 UNIVERSITY AVE		5152255400							US	IA	421411715			2-ACC	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 16:19:00.0	0	1	fbl-20160930.xml	1	
0001013462-16-000025	1013462	ANSYS INC	7372	US	PA	CANONSBURG	15317	2600 ANSYS DRIVE, SOUTHPOINTE		7247463304	US	PA	CANONSBURG	15317	2600 ANSYS DRIVE, SOUTHPOINTE		US	DE	043219960			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 11:37:00.0	0	1	anss-20160930.xml	1	
0001013606-16-000314	1013606	ENDOLOGIX INC /DE/	3841	US	CA	IRVINE	92618	2 MUSICK		9495957200	US	CA	IRVINE	92618	2 MUSICK		US	DE	680328265	RADIANCE MEDICAL SYSTEMS INC /DE/	19990122	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 13:58:00.0	0	1	elgx-20160930.xml	1	
0001013871-16-000039	1013871	NRG ENERGY, INC.	4911	US	NJ	PRINCETON	08540	804 CARNEGIE CENTER	-	609-524-4500	US	NJ	PRINCETON	08540	804 CARNEGIE CENTER	-	US	DE	411724239	NRG ENERGY INC	19960509	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161104	2016-11-04 13:49:00.0	0	1	nrg-20160930.xml	1	
0001014111-16-000058	1014111	IMATION CORP	3695	US	MN	OAKDALE	55128	1 IMATION PL		6517044000	US	MN	OAKDALE	55128	1 IMATION PLACE		US	DE	411838504	3M INFORMATION PROCESSING INC	19960619	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 17:26:00.0	0	1	imn-20160930.xml	1	
0001014473-16-000117	1014473	VERISIGN INC/CA	7371	US	VA	RESTON	20190	12061 BLUEMONT WAY	ATTN: GENERAL COUNSEL	7039483200	US	VA	RESTON	20190	12061 BLUEMONT WAY	ATTN: GENERAL COUNSEL	US	DE	943221585			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 16:43:00.0	0	1	vrsn-20160930.xml	1	
0001014763-16-000040	1014763	AMARILLO BIOSCIENCES INC	2834	US	TX	AMARILLO	79110-4225	AMARILLO BIOSCIENCES INC	4134 BUSINESS PARK DRIVE	(806) 376-17	US	TX	AMARILLO	79110-4225	AMARILLO BIOSCIENCES INC	4134 BUSINESS PARK DRIVE	US	TX	751974352			5-SML	0	1231	10-Q	20160930	2016	Q3	20161121	2016-11-21 14:44:00.0	0	1	amar-20160930.xml	1	
0001014897-16-000645	1089598	BAYNON INTERNATIONAL CORP	6770	US	NJ	CEDAR GROVE	07009	266 CEDAR STREET		9732392952	US	NJ	CEDAR GROVE	07009	266 CEDAR STREET		US	NV	880285718			5-SML	0	1231	10-Q	20160930	2016	Q3	20161114	2016-11-14 09:45:00.0	0	1	bayn-20160930.xml	1	
0001014897-16-000646	1290658	GOTHAM CAPITAL HOLDINGS, INC.	5122	US	NJ	CEDAR GROVE	07009	266 CEDAR STREET		973-239-2952	US	NJ	CEDAR GROVE	07009	266 CEDAR STREET				562415252	CREATIVE BEAUTY SUPPLY OF NEW JERSEY CORP	20040517	5-SML	0	1231	10-Q	20160930	2016	Q3	20161114	2016-11-14 09:46:00.0	0	1	gthm-20160930.xml	1	
0001014897-16-000649	1624985	TRIMAX CONSULTING, INC.	6531	US	CA	BEVERLY HILLS	90211	319 S. ROBERTSON BLVD. 2ND FLOOR		310-598-7872	US	CA	BEVERLY HILLS	90211	319 S. ROBERTSON BLVD. 2ND FLOOR		US	NV	371758469			5-SML	0	1231	10-Q	20160930	2016	Q3	20161114	2016-11-14 12:22:00.0	0	1	trmx-20160930.xml	1	
0001014897-16-000657	1425203	CPSM, INC.	1700	US	FL	STUART	34997	2951 SE. WAALER ST.		772-283-3332	US	FL	STUART	34997	2951 SE. WAALER ST.		US	NV	980557091	LUX ENERGY CORP	20100420	5-SML	0	1231	10-Q	20160930	2016	Q3	20161114	2016-11-14 14:24:00.0	0	1	swmm-20160930.xml	1	
0001014897-16-000658	1425289	BRIGHTLANE CORP.	6500	US	TX	HOUSTON	77098	3270 SUL ROSS		404-419-6040	US	TX	HOUSTON	77098	3270 SUL ROSS		US	NV	208560967	BONANZA GOLD CORP.	20110131	5-SML	0	1231	10-Q	20160930	2016	Q3	20161114	2016-11-14 14:31:00.0	0	1	btln-20160930.xml	1	
0001014897-16-000662	1639836	ORIGINAL SOURCE MUSIC, INC.	6794	US	CO	LITTLETON	80120	8201 SOUTH SANTA FE DRIVE #229		303-495-3728	US	CO	LITTLETON	80120	8201 SOUTH SANTA FE DRIVE #229		US	NV	208594615			5-SML	0	1231	10-Q	20160930	2016	Q3	20161121	2016-11-21 14:17:00.0	0	1	osmu-20160930.xml	1	
0001014897-16-000664	1471387	PMX COMMUNITIES, INC.	5900	US	FL	BOCA RATON	33431	2700 NORTH MILITARY TRAIL	#130	561-210-5349	US	FL	BOCA RATON	33431	2700 NORTH MILITARY TRAIL	#130	US	NV	800433114			5-SML	0	1231	10-Q	20160930	2016	Q3	20161121	2016-11-21 17:15:00.0	0	1	pmxo-20160930.xml	1	
0001014897-16-000671	1584618	ATACAMA RESOURCES INTERNATIONAL, INC.	8742	US	WI	KENOSHA	53142	10820 68TH PLACE		613-868-6157	US	WI	KENOSHA	53142	10820 68TH PLACE		US	FL	463105245	ARRAKIS MINING RESEARCH INC.	20130816	5-SML	0	1231	10-Q/A	20160930	2016	Q3	20161123	2016-11-22 18:38:00.0	0	1	acrl-20160930.xml	1	
0001015328-16-000427	1015328	WINTRUST FINANCIAL CORP	6022	US	IL	ROSEMONT	60018	9700 WEST HIGGINS ROAD, 8TH FLOOR		8479399000	US	IL	ROSEMONT	60018	9700 WEST HIGGINS ROAD, 8TH FLOOR		US	IL	363873352			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 16:51:00.0	0	1	wtfc-20160930.xml	1	
0001015780-16-000179	1015780	E TRADE FINANCIAL CORP	6035	US	NY	NEW YORK	10020-1302	1271 AVENUE OF THE AMERICAS FL 14		6503316000	US	NY	NEW YORK	10020-1302	1271 AVENUE OF THE AMERICAS FL 14		US	DE	942844166	E TRADE FIANCIAL CORP	20111130	1-LAF	1	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 16:55:00.0	0	1	etfc-20160930.xml	1	
0001016125-16-000247	1016125	ULTIMATE SOFTWARE GROUP INC	7372	US	FL	WESTON	33326	ULTIMATE SOFTWARE GROUP INC	2000 ULTIMATE WAY	9542661000	US	FL	WESTON	33326	ULTIMATE SOFTWARE GROUP INC	2000 ULTIMATE WAY	US	DE	650694077			1-LAF	1	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 13:52:00.0	0	1	ulti-20160930.xml	1	
0001016178-16-000075	1016178	CARVER BANCORP INC	6035	US	NY	NEW YORK	10027-4512	75 W 125TH ST		2128764747	US	NY	NEW YORK	10027-4512	75 W 125TH ST		US	DE	133904174			4-NON	0	0331	10-Q	20160930	2016	Q2	20161114	2016-11-14 17:36:00.0	0	1	carv-20160930.xml	1	
0001016281-16-000251	1016281	CARRIAGE SERVICES INC	7200	US	TX	HOUSTON	77056	3040 POST OAK BOULEVARD	SUITE 300	713-332-8400	US	TX	HOUSTON	77056	3040 POST OAK BOULEVARD	SUITE 300	US	DE	760423828			2-ACC	0	1231	10-Q	20160930	2016	Q3	20161026	2016-10-26 16:18:00.0	0	1	csv-20160930.xml	1	
0001017303-16-000119	1017303	TRANSACT TECHNOLOGIES INC	3577	US	CT	HAMDEN	06518	ONE HAMDEN CENTER	2319 WHITNEY AVENUE, SUITE 3B	203-859-6800	US	CT	HAMDEN	06518	ONE HAMDEN CENTER	2319 WHITNEY AVENUE, SUITE 3B	US	DE	061456680			5-SML	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 13:44:00.0	0	1	tact-20160630.xml	1	
0001017386-16-000548	1322952	ROKWADER, INC.	7900	US	CA	LOS GATOS	95032	15466 LOS GATOS BLVD.	NO. 109-352	(408) 221-69	US	CA	LOS GATOS	95032	15466 LOS GATOS BLVD.	NO. 109-352	US	DE	731731755			5-SML	0	1231	10-Q	20160630	2016	Q2	20161011	2016-10-11 07:38:00.0	0	1	rokr-20160630.xml	1	
0001017386-16-000558	1454124	5BARZ INTERNATIONAL, INC.	3669	US	CA	SAN DIEGO	92121	9444 WAPLES STREET, SUITE 140		(360) 961-53	US	CA	SAN DIEGO	92121	9444 WAPLES STREET, SUITE 140				264343002	5BARZ INTERNATIONAL, INC.	20110105	5-SML	0	1231	10-Q	20160630	2016	Q2	20161028	2016-10-28 16:33:00.0	0	1	barzob-20160630.xml	1	
0001017386-16-000595	1547015	US-DADI FERTILIZER INDUSTRY INTERNATIONAL, INC.	3523	US	CA	DALY CITY	94015	699 SERRAMONTE BLVD., STE 212		650-530-0699	US	CA	DALY CITY	94015	699 SERRAMONTE BLVD., STE 212		US	CA	452725352			5-SML	0	1231	10-Q	20160930	2016	Q3	20161115	2016-11-14 21:15:00.0	0	1	dadi-20160930.xml	1	
0001017386-16-000609	1374567	LUVU BRANDS, INC.	2510	US	GA	ATLANTA	30360	2745 BANKERS INDUSTRIAL DRIVE		770-246-6426	US	GA	ATLANTA	30360	2745 BANKERS INDUSTRIAL DRIVE		US	FL	593581576	LIBERATOR, INC.	20110304	5-SML	0	0630	10-Q	20160930	2017	Q1	20161121	2016-11-21 14:27:00.0	0	1	luvu-20160930.xml	1	
0001017386-16-000617	1080319	NEWGIOCO GROUP, INC.	6500	CA	ON	TORONTO	M5H 2K4	130 ADELAIDE STREET,  WEST	SUITE 701	647-229-0136	CA	ON	TORONTO	M5H 2K4	130 ADELAIDE STREET,  WEST	SUITE 701			330823179	EMPIRE GLOBAL CORP.	20051004	5-SML	0	1231	10-Q	20160930	2016	Q3	20161123	2016-11-23 14:10:00.0	0	1	emgl-20160930.xml	1	
0001017386-16-000619	1322952	ROKWADER, INC.	7900	US	CA	LOS GATOS	95032	15466 LOS GATOS BLVD.	NO. 109-352	(408) 221-69	US	CA	LOS GATOS	95032	15466 LOS GATOS BLVD.	NO. 109-352	US	DE	731731755			5-SML	0	1231	10-Q	20160930	2016	Q3	20161123	2016-11-23 14:24:00.0	0	1	rokr-20160930.xml	1	
0001017386-16-000627	1454124	5BARZ INTERNATIONAL, INC.	3669	US	CA	SAN DIEGO	92121	9444 WAPLES STREET, SUITE 140		(360) 961-53	US	CA	SAN DIEGO	92121	9444 WAPLES STREET, SUITE 140				264343002	5BARZ INTERNATIONAL, INC.	20110105	5-SML	0	1231	10-Q	20160930	2016	Q3	20161202	2016-12-02 16:08:00.0	0	1	barzob-20160930.xml	1	
0001017386-16-000634	1579010	HISPANICA INTERNATIONAL DELIGHTS OF AMERICA, INC.	2080	US	NY	NEW YORK	10022	575 LEXINGTON AVENUE	4TH FLOOR	(866) 928-50	US	NY	NEW YORK	10022	575 LEXINGTON AVENUE	4TH FLOOR	US	DE	462552550			5-SML	0	0531	S-1	20160831	2017	Q1	20161207	2016-12-07 16:35:00.0	1	1	hisp-20160831.xml	1	
0001017386-16-000646	90721	PERVASIP CORP	4813	US	NY	WHITE PLAINS	10605	430 NORTH STREET		914-750-9339	US	NY	WHITE PLAINS	10605	430 NORTH STREET		US	NY	132511270	ELEC COMMUNICATIONS CORP	19991130	5-SML	0	1130	10-K	20151130	2015	FY	20161215	2016-12-14 21:54:00.0	0	1	pvsp-20151130.xml	1	
0001017386-16-000649	90721	PERVASIP CORP	4813	US	NY	WHITE PLAINS	10605	430 NORTH STREET		914-750-9339	US	NY	WHITE PLAINS	10605	430 NORTH STREET		US	NY	132511270	ELEC COMMUNICATIONS CORP	19991130	5-SML	0	1130	10-Q	20160229	2016	Q1	20161215	2016-12-15 17:00:00.0	0	1	pvsp-20160229.xml	1	
0001017386-16-000652	90721	PERVASIP CORP	4813	US	NY	WHITE PLAINS	10605	430 NORTH STREET		914-750-9339	US	NY	WHITE PLAINS	10605	430 NORTH STREET		US	NY	132511270	ELEC COMMUNICATIONS CORP	19991130	5-SML	0	1130	10-Q	20160531	2016	Q2	20161216	2016-12-15 20:24:00.0	0	1	pvsp-20160531.xml	1	
0001017386-16-000654	90721	PERVASIP CORP	4813	US	NY	WHITE PLAINS	10605	430 NORTH STREET		914-750-9339	US	NY	WHITE PLAINS	10605	430 NORTH STREET		US	NY	132511270	ELEC COMMUNICATIONS CORP	19991130	5-SML	0	1130	10-Q	20160831	2016	Q3	20161216	2016-12-15 22:01:00.0	0	1	pvsp-20160831.xml	1	
0001017386-16-000658	1579010	HISPANICA INTERNATIONAL DELIGHTS OF AMERICA, INC.	2080	US	NY	NEW YORK	10022	575 LEXINGTON AVENUE	4TH FLOOR	(866) 928-50	US	NY	NEW YORK	10022	575 LEXINGTON AVENUE	4TH FLOOR	US	DE	462552550			5-SML	0	0531	S-1/A	20160831	2017	Q1	20161220	2016-12-20 16:10:00.0	1	1	hisp-20160831.xml	1	
0001017386-16-000660	1228386	TRANSATLANTIC CAPITAL INC.	8742	US	GA	MABLETON	30126	1400 VETERANS MEMORIAL HIGHWAY	SUITE 134-271	1-404-537-29	US	GA	MABLETON	30126	1400 VETERANS MEMORIAL HIGHWAY	SUITE 134-271	US	NV	980377767	ACRO INC.	20060504	5-SML	0	1231	10-Q	20160930	2016	Q3	20161223	2016-12-23 14:41:00.0	0	1	taci-20160930.xml	1	
0001017480-16-000079	1017480	HIBBETT SPORTS INC	5940	US	AL	BIRMINGHAM	35211	2700 MILAN COURT		2059424292	US	AL	BIRMINGHAM	35211	2700 MILAN COURT				208159608	HIBBETT SPORTING GOODS INC	19960622	1-LAF	1	0131	10-Q	20161031	2016	Q3	20161207	2016-12-07 10:18:00.0	0	1	hibb-20161029.xml	1	
0001017491-16-000234	1017491	APRICUS BIOSCIENCES, INC.	2834	US	CA	SAN DIEGO,	92130	11975 EL CAMINO REAL,	SUITE 300	(858) 222-80	US	CA	SAN DIEGO,	92130	11975 EL CAMINO REAL,	SUITE 300	US	NV	870449967	NEXMED INC	19970311	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161108	2016-11-08 16:28:00.0	0	1	apri-20160930.xml	1	
0001018003-16-000112	1018003	INGRAM MICRO INC	5045	US	CA	IRVINE	92612-0697	3351 MICHELSON DRIVE, SUITE 100		7145661000	US	CA	IRVINE	92612-0697	3351 MICHELSON DRIVE, SUITE 100		US	DE	621644402			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 16:30:00.0	0	1	im-20161001.xml	1	
0001018399-16-000144	1018399	ENTERPRISE BANCORP INC /MA/	6022	US	MA	LOWELL	01852	222 MERRIMACK ST		9784599000							US	MA	000000000			2-ACC	0	1231	10-Q	20160930	2016	Q3	20161107	2016-11-07 16:07:00.0	0	1	ebtc-20160930.xml	1	
0001018724-16-000324	1018724	AMAZON COM INC	5961	US	WA	SEATTLE	98109	410 TERRY AVENUE NORTH		2062661000	US	WA	SEATTLE	98109	410 TERRY AVENUE NORTH		US	DE	911646860			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161028	2016-10-27 18:39:00.0	0	1	amzn-20160930.xml	1	
0001018840-16-000123	1018840	ABERCROMBIE & FITCH CO /DE/	5651	US	OH	NEW ALBANY	43054	6301 FITCH PATH		6142836500	US	OH	NEW ALBANY	43054	6301 FITCH PATH		US	DE	311469076			1-LAF	1	0131	10-Q	20161031	2016	Q3	20161205	2016-12-05 16:12:00.0	0	1	anf-20161029.xml	1	
0001018963-16-000085	1018963	ALLEGHENY TECHNOLOGIES INC	3317	US	PA	PITTSBURGH	15222	1000 SIX PPG PLACE		4123942800	US	PA	PITTSBURGH	15222	100 SIX PPG PLACE		US	DE	251792394	ALLEGHENY TELEDYNE INC	19960716	1-LAF	1	1231	10-Q	20160930	2016	Q3	20161102	2016-11-02 16:03:00.0	0	1	ati-20160930.xml	1	
0001019056-16-001614	1108236	AMERICAN RIVER BANKSHARES	6022	US	CA	RANCHO CORDOVA	95670	3100 ZINFANDEL DRIVE	SUITE 450	9162316723	US	CA	RANCHO CORDOVA	95670	3100 ZINFANDEL DRIVE	SUITE 450	US	CA	680352144	AMERICAN RIVER BANKSHARES	20040528	4-NON	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 15:14:00.0	0	1	fil-20160930.xml	1	
0001019056-16-001626	1163199	FNB BANCORP/CA/	6022	US	CA	S. SAN FRANCISCO	94080	975 EL CAMINO REAL 3RD FL	C/O FIRST NATIONAL BANK	6505886800	US	CA	S. SAN FRANCISCO	94080	975 EL CAMINO REAL 3RD FL	C/O FIRST NATIONAL BANK			922115369			2-ACC	0	1231	10-Q/A	20160930	2016	Q3	20161107	2016-11-07 16:49:00.0	0	1	fil-20160930.xml	1	
0001019650-16-000140	1019650	CENTRUE FINANCIAL CORP	6021	US	IL	OTTAWA	61350	122 WEST MADISON ST.	--	815-434-3900	US	IL	OTTAWA	61350	122 WEST MADISON ST.	--	US	DE	363145350	UNIONBANCORP INC	19960724	5-SML	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-08 17:52:00.0	0	1	cfcb-20160630.xml	1	
0001020416-16-000216	1020416	MONSTER WORLDWIDE, INC.	7363	US	MA	WESTON	02493	133 BOSTON POST ROAD, BUILDING 15		212 351 7000	US	MA	WESTON	02493	133 BOSTON POST ROAD, BUILDING 15		US	DE	133906555	MONSTER WORLDWIDE INC	20030501	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161031	2016-10-31 17:03:00.0	0	1	mww-20160930.xml	1	
0001020569-16-000022	1020569	IRON MOUNTAIN INC	6798	US	MA	BOSTON	02110	ONE FEDERAL STREET		617-535-4781	US	MA	BOSTON	02110	ONE FEDERAL STREET		US	DE	232588479	IRON MOUNTAIN INC/PA	20000201	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161101	2016-11-01 11:25:00.0	0	1	irm-20160930.xml	1	
0001020859-16-000383	1020859	UNITED NATURAL FOODS INC	5141	US	RI	PROVIDENCE	02908	313 IRON HORSE WAY		401-528-8634	US	RI	PROVIDENCE	02908	313 IRON HORSE WAY		US	DE	050376157			1-LAF	0	0731	10-Q	20161031	2017	Q1	20161208	2016-12-08 13:56:00.0	0	1	unfi-20161029.xml	1	
0001021162-16-000093	1021162	TRIUMPH GROUP INC	3720	US	PA	BERWYN	19312	899 CASSATT ROAD	SUITE 210	(610) 251-10	US	PA	BERWYN	19312	899 CASSATT ROAD	SUITE 210	US	DE	510347963	TRIUMPH GROUP INC /	19960819	1-LAF	1	0331	10-Q	20160930	2016	Q2	20161109	2016-11-09 17:12:00.0	0	1	tgi-20160930.xml	1	
0001021561-16-000188	1021561	NU SKIN ENTERPRISES INC	5122	US	UT	PROVO	84601	75 WEST CENTER ST	ATTN: GREGORY BELLISTON	801-345-1000	US	UT	PROVO	84601	75 WEST CENTER ST	ATTN: GREGORY BELLISTON	US	DE	870565309	NU SKIN ASIA PACIFIC INC	19960919	1-LAF	1	1231	10-Q	20160930	2016	Q3	20161104	2016-11-03 20:18:00.0	0	1	nus-20160930.xml	1	
0001021635-16-000265	1021635	OGE ENERGY CORP.	4911	US	OK	OKLAHOMA CITY	73101-0321	321 N HARVEY	P.O. BOX 321	4055533000	US	OK	OKLAHOMA CITY	73101-0321	321 N HARVEY	P.O. BOX 321	US	OK	731481638	OGE ENERGY CORP	19960827	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 08:18:00.0	0	1	oge-20160930.xml	1	
0001021890-16-000049	812306	PROCYON CORP	2834	US	FL	CLEARWATER	33756	1300 S HIGHLAND AVE		(727)447-299	US	FL	CLEARWATER	33756	1300 S HIGHLAND AVE		US	CO	368732690			5-SML	0	0630	10-Q/A	20160930	2017	Q1	20161115	2016-11-15 15:45:00.0	0	1	pcyn-20160930.xml	1	
0001022079-16-000332	1022079	QUEST DIAGNOSTICS INC	8071	US	NJ	MADISON	07940	3 GIRALDA FARMS		9735202700	US	NJ	MADISON	07940	3 GIRALDA FARMS		US	DE	161387862	CORNING CLINICAL LABORATORIES INC	19960903	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161021	2016-10-21 16:24:00.0	0	1	dgx-20160930.xml	1	
0001022321-16-000236	1022321	GENESIS ENERGY LP	5171	US	TX	HOUSTON	77002	919 MILAM, SUITE 2100		7138602500	US	TX	HOUSTON	77002	919 MILAM, SUITE 2100		US	DE	760513049			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 11:54:00.0	0	1	gel-20160930.xml	1	
0001022408-16-000097	1022408	EPLUS INC	5045	US	VA	HERNDON	20171-3413	13595 DULLES TECHNOLOGY DRIVE		7039848400	US	VA	HERNDON	20171-3413	13595 DULLES TECHNOLOGY DRIVE		US	DE	541817218	MLC HOLDINGS INC	19960906	2-ACC	0	0331	10-Q	20160930	2016	Q2	20161104	2016-11-03 18:04:00.0	0	1	plus-20160930.xml	1	
0001022652-16-000122	1022652	NOVATEL WIRELESS INC	3669	US	CA	SAN DIEGO	92121	9645 SCRANTON ROAD	SUITE 205	8583208800	US	CA	SAN DIEGO	92121	9645 SCRANTON ROAD	SUITE 205	US	DE	860824673			2-ACC	0	1231	10-Q	20160930	2016	Q3	20161107	2016-11-07 16:07:00.0	0	1	mifi-20160930.xml	1	
0001022705-16-000093	1022705	TESCO CORP	3533	US	TX	HOUSTON	77041	WESTWAY PLAZA, 11330 CLAY ROAD	SUITE 350	713-359-7000	US	TX	HOUSTON	77041	WESTWAY PLAZA, 11330 CLAY ROAD	SUITE 350			980053204	TESCO CORP	20061229	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161107	2016-11-07 15:12:00.0	0	1	teso-20160930.xml	1	
0001023291-16-000028	1023291	ENERGY FUTURE HOLDINGS CORP /TX/	4911	US	TX	DALLAS	75201	ENERGY PLAZA	1601 BRYAN ST	2148124600	US	TX	DALLAS	75201	1601 BRYAN STREET	SUITE 36060			462488810	TXU CORP /TX/	20000517	4-NON	0	1231	10-Q	20160930	2016	Q3	20161101	2016-11-01 17:22:00.0	0	1	efh-20160930.xml	1	
